RESID,SS,PreySS,PredSS,PPratio,ExoticSS,Richness,Evenness,NatStock,Nnatstock,IntrodUndes,Fishkills,FishPres,CatchRate,FishSize,CatchVar,AnglerSatis,FreqTourn,RatioFishing,SPP1comp,LargeFish,StockedFish,PopDen,SizeStruc,Condition,GRate,NatMort,R_age1,R_adult,CRA,BAS,PIK,PER,CAT,SUN,MOR,TRT,SAL
MO29,3,4,2,5,4,3,3,2,1,3,1,4,3,3,3,3,1,2,3,2,1,3,2,3,2,3,2,2,0,1,0,0,0,0,0,0,0
MS58,3,4,2,4,1,1,2,1,1,1,2,3,3,2,3,2,1,4,2,2,1,3,2,2,2,3,3,3,0,1,0,0,0,0,0,0,0
OH40,3,4,2,3,4,2,2,4,2,3,2,2,2,3,3,2,2,2,2,2,1,2,4,4,3,4,3,3,0,1,0,0,0,0,0,0,0
OH49,3,4,2,4,3,3,2,1,4,1,1,2,2,3,4,2,2,2,1,2,1,1,4,4,3,4,2,2,0,1,0,0,0,0,0,0,0
PA88,3,4,2,2,1,3,2,1,4,1,1,3,2,3,4,3,3,4,3,2,1,4,3,3,3,3,2,3,0,0,0,0,0,1,0,0,0
TN45,3,4,2,2,1,3,2,1,2,1,3,3,3,3,3,3,2,5,2,2,2,3,3,3,4,3,4,4,1,0,0,0,0,0,0,0,0
TX193,3,4,2,4,3,3,3,2,1,1,1,2,3,3,3,3,1,3,3,2,1,5,2,3,4,3,3,3,1,0,0,0,0,0,0,0,0
TX21,3,4,2,4,2,2,2,2,2,2,4,2,2,3,3,3,2,4,2,2,1,4,4,4,4,3,3,3,1,0,0,0,0,0,0,0,0
TX275,3,4,2,2,1,3,3,1,1,1,1,2,3,3,3,2,2,4,2,3,1,4,3,4,3,3,3,3,1,0,0,0,0,0,0,0,0
TX282,3,4,2,4,2,2,2,2,2,2,2,4,2,4,3,2,1,4,1.9,3.4,1.6,2,4,4,4,3,2,3,0,1,0,0,0,0,0,0,0
MT27,4,4,2,4,2,2,2,1,5,2,1,3,2,3,2,3,1,5,4,4,4,4,3,3,3,3,3,3,0,0,0,0,0,0,0,0,1
NE30,4,4,2,4,4,2,2,3,3,4,3,2,2,2,3,2,3,4,2,2,1,2,1,2,1,4,4,3,1,0,0,0,0,0,0,0,0
NE7,4,4,2,2,5,1,1,3,2,4,2,2,2,2,3,2,4,2,3,3,1,4,4,3,3.5,3,4,4,0,0,0,0,1,0,0,0,0
OR91,4,4,2,5,5,4,2,3,1,4,1,3,3,3,3,3,1,4,3,3,4,3,3,3,3,3,2,3,0,0,0,0,0,0,0,1,0
TX281,4,4,2,4,2,2,2,2,2,2,2,2,3,2,3,3,2,4,2,3,1,4,3,3,3,3,3,3,0,0,0,0,1,0,0,0,0
TX57,4,4,2,1,5,3,2,3,1,4,1,2,3,4,2,3,1,5,2,2.8,1,3,4,4,4,2,4,4,0,0,0,0,1,0,0,0,0
VA35,4,4,2,4,5,4,3,1,3,1,1,3,2,3,4,3,1,3,3,2,2,2,4,4,4,3,2,2,0,1,0,0,0,0,0,0,0
VA7,4,4,2,4,3,3,3,1,3,3,1,2,3,4,4,3,4,2,2,4,1,2,4,4,3,2,2,4,0,1,0,0,0,0,0,0,0
AL9,2,3,2,4,3,4,3,3,2,3,1,3,2,2,3,3,2,2,2,2,1,2,2,2,2,3,3,3,0,1,0,0,0,0,0,0,0
AR50,2,3,2,3,1,3,2,1,1,1,1,1,2,2,3,2,1,2,2,1,1,2,2,2,2,4,3,3,0,1,0,0,0,0,0,0,0
AR8,2,3,2,4,2,2,2,2,4,2,1,2,2,3,3,2,1,3,2,2,1,4,3,3,3,3,3,3,0,0,0,0,1,0,0,0,0
ID28,2,3,2,3,3,2,2,1.5,3,4,2,3,3,3,3,3,1,3,3,3,4,2,2,3,2,3,1,3,0,0,0,0,0,0,0,1,0
ID82,2,3,2,3,1,3,2,3,1,1,1,3,3,3,4,3,1,3,3,3,3,2,3,3,4,3,3,3,0,0,0,0,0,0,0,1,0
KS64,2,3,2,3,3,3,3,1,1,3,1,1,2,2,3,2,1,2,2,1,1,2,2,2,2,3,3,3,1,0,0,0,0,0,0,0,0
KY18,2,3,2,2,4,3,2,4,1,5,1,2,3,3,2,3,1,4,2,2,1,3,3,4,4,3,3,3,0,0,0,0,1,0,0,0,0
MI14,2,3,2,2,1,3,2,3,1,1,1,1,2,2,3,3,1,2,2,2,1,2,2,3,3,3,3,3,0,0,0,0,0,1,0,0,0
MN112,2,3,2,2,1,3,3,1,1,1,3,4,2,2,3,2,2,3,2,2,1,2,2,4,2,3,4,2,0,0,0,1,0,0,0,0,0
NV26,2,3,2,2,3,2,2,1,1,3,3,2,1,2,3,2,1,1,1,1,1,1,2,3,3,3,2,1,0,1,0,0,0,0,0,0,0
OH13,2,3,2,3,3,2,2,4,2,3,3,2,2,2,3,2,2,3,1,1,1,2,2,2,2,3,2,2,0,1,0,0,0,0,0,0,0
OH38,2,3,2,3,4,3,3,4,2,3,3,2,3,3,3,3,2,2,1,1,1,2,4,3,2,3,3,3,0,1,0,0,0,0,0,0,0
OH41,2,3,2,2,4,2,2,2,2,3,3,2,2,2,2,3,1,2,2,1,1,3,2,2,2,3,3,3,0,1,0,0,0,0,0,0,0
OK152,2,3,2,4,3,3,3,3,2,3,2,2,1,2,3,2,1,3,3,2,1,3,3,3,3,3,3,3,0,0,0,0,1,0,0,0,0
OK18,2,3,2,2,4,2,1,2,3,1,1,2,3,3,2,3,1,2,2,2,1,3,3,3,3,3,3,3,0,0,0,0,1,0,0,0,0
OK93,2,3,2,2,3,2,2,1,3,1,2,3,2,2,3,3,1,5,2,2,1,3,3,3,3,3,3,3,0,0,0,0,1,0,0,0,0
PA105,2,3,2,2,3,2,3,1,1,3,2,2,2,2,3,2,2,2,3,2,1,2,2,2,3,2,2,2,1,0,0,0,0,0,0,0,0
PA63,2,3,2,3,1,3,2,1,4,1,1,3,3,3,4,3,2,3,2,3,1,3,4,3,3,3,3,3,1,0,0,0,0,0,0,0,0
TX129,2,3,2,2,1,3,3,1,1,1,1,2,4,3,3,3,1,3,3,2,2.3,2,3,3,3,3,2,3,0,1,0,0,0,0,0,0,0
TX203,2,3,2,2,1,3,3,2,2,1,1,1,2,3,3,3,1,5,2,2,3,3,3,3,2,3,1,3,0,0,0,0,1,0,0,0,0
TX288,2,3,2,3,3,2,3,3,1,1,1,1,2,3,4,3,1,5,3,3,2,3,4,3,3,4,2,2,0,1,0,0,0,0,0,0,0
TX31,2,3,2,3,5,4,3,3,1,4,1,2,3,3,3,2,4,3,3,1,1,2,4,3,2,3,3,3,0,1,0,0,0,0,0,0,0
TX55,2,3,2,4,4,2,2,4,5,3,5,2,2,2,3,2,2,2,2,2,2,1,2,4,4,5,2,2,0,1,0,0,0,0,0,0,0
WY82,2,3,2,2,4,3,3,1,2,2,2,3,3,4,2,2,3,3,2,3,1,2,4,3,4,3,2,2,0,0,0,1,0,0,0,0,0
AR21,3,3,2,3,2,3,3,3,2,2,2,3,3,3,2,2,2,5,2,2,1,2,3,3,3,2,3,3,0,1,0,0,0,0,0,0,0
AR3,3,3,2,3,4,3,3,3,1,2,1,4,3,3,3,2,2,4,2,1,1,2,2,3,3,3,4,3,0,1,0,0,0,0,0,0,0
AR46,3,3,2,3,3,3,3,4,4,3,1,3,3,4,3,3,4,5,1,2,1,2,4,4,3,3,3,3,0,1,0,0,0,0,0,0,0
IA22,3,3,2,2,4,3,2,1,1,3,2,3,3,2,3,2,3,3,2,3,3,4,2,4,2,2,4,4,0,0,0,0,1,0,0,0,0
IA4,3,3,2,3,3,3,3,2,3,3,3,5,3,3,3,3,2,4,2,2,1,4,4,4,4,3,4,4,0,0,0,0,0,1,0,0,0
IA5,3,3,2,4,4,3,3,3,1,3,3,5,3,4,3,3,3,4,2,3,1,3,3,3,3,3,3,3,1,0,0,0,0,0,0,0,0
IL104,3,3,2,2,4,3,2,1,1,3,1,3,3,3,3,3,3,3,2,3,1,2,3,3,3,3,2,3,0,1,0,0,0,0,0,0,0
IL108,3,3,2,2,3,3,3,3,1,2,3,3,3,3,3,3,3,4,2,2,1,2,3,3,3,3,2,3,0,1,0,0,0,0,0,0,0
KS65,3,3,2,4,3,3,3,1,3,3,2,3,3,3,3,3,1,3,3,2,1,3,4,3,3,3,3,3,1,0,0,0,0,0,0,0,0
KS69,3,3,2,2,3,3,3,3,2,3,1,2,2,2,2,2,2,4,1,1,4,2,2,2,2,3,3,3,0,0,0,0,1,0,0,0,0
KY19,3,3,2,4,3,4,4,3,1,3,1,3,3,3,3,3,2,3,2,2,1,3,3,4,4,3,3,3,0,0,0,0,1,0,0,0,0
KY20,3,3,2,4,3,4,3,4,1,2,1,3,3,3,3,3,1,3,2,2,1,3,3,3,3,3,3,3,0,0,0,0,1,0,0,0,0
MN124,3,3,2,4,3,3,3,3,1,1,3,3,2,3,3,3,2,3,3,2,1,4,3,3,4,3,3,3,0,0,0,0,0,1,0,0,0
MN154,3,3,2,1,4,2,2,4,1,1,2,2,3,2,4,3,1,5,2,2,1,2,3,3,3,4,2,2,1,0,0,0,0,0,0,0,0
MO5,3,3,2,2,5,3,2,3,1,1,1,2,2,2,3,2,2,2,2.8,3.2,1.9,1,4,4,4,2,2,2,0,1,0,0,0,0,0,0,0
